,Title,Rating,Review,Review_Date
10,"5.0 out of 5 stars
This is the best Android has to offer",5.0,"I'll keep it short and direct.-Great in hand feel. The aluminium frame and glass back feel nice to hold.- Probably the best screen. QHD, Really bright, and high refresh rate.-Amazing battery life. I charge my phone to 85% and with a screen on time of about 6-7 hours get home with more than 40% left.-Great cameras. Not even gonna get deep into it.-The Spen is wonderful to use. Really helped improve my productivity.-One ui is probably my favourite Android skin and with Android 14 it's even better.-Samsung will provide updates for this phone for 5 years. That coupled with the fact that Samsung offers the cheapest repair options in India mean you don't really need to worry about getting a new one for the next 5 years.-And yes it takes calls and no network issues.The only thing this phone doesn't do is make coffee .If it is in your budget, you would not get a better phone than this. That is until the next one comes out.", 2 December 2023
11,"5.0 out of 5 stars
The best smartphone money can buy!",5.0,"After using Samsung Galaxy S23 Ultra for quite a bit as a daily driver and coming back to Samsung after a long time after using other smaller form factor phones like ONEPLUS 9, here's what I think about this phone.PROS:- This phone has the best camera ever installed into a smartphone, hands-down! No other phone made in human history can ever come close to 1% of what Samsung Galaxy S23 Ultra's cameras can do.- Performance is crazy! Not only it has Snapdragon 8Gen-2, but that too custom-made for Samsung Galaxy phones. You can play any games, run any apps and do whatever you'd want from a phone that is used at work, gaming, taking photos/videos and for personal use at the same time.- Rectangular form factor of this phone makes it so much comfortable and easy to hold. And it looks very premium too, which obviously is expected from a phone that costs this much.- OneUI has so many great features that they cannot be listed in one place. It brings a whole new meaning to ""smart"" in smartphones. Previously only Apple was making real smartphones that were actually smart and now with OneUI 5.1, Samsung has joined the league and probably done a better job than Apple at this point.- Good Lock modules + OneUI 5.1 has such a tremendous level of customization in terms of many aspects of the usability. It doesn't have all of it, to which I'll come in ""CONS"" section.- Charging time is good, reverse charging and wireless charging are such a sweet add-on that helps and makes the experience really good.- S-Pen does the wonders! Very useful specially for those who use their phone for professional work like eSigning and other precision work.- Build quality and software are really premium, you'll know you've sold a kidney when you hold this phone in your hands and turn up the max resolution on display.- S23 Ultra is slightly more flat on sides as compared to S22 Ultra which makes it a more usable phone.CONS:- Now, since this phone has a curved display which adds no usability but makes it little difficult to use for people with smaller hands or to reach to corners with one hand, it becomes little hard to get used to this kind of display even if you've used a curved display phone with smaller form factor before because S23 Ultra is HUGE!- Another issue with curved screen, since there's a decent curve in screen, finding a screen protector is really hard! Tempered glasses don't fit well, they get spaced by covers/cases, Samsung officially doesn't make tempered glass for S23 Ultra. Samsung sells a thin membrane sheet for ₹1,500/- which has a cutout for camera and collects dust. Having no screen protection means having your second kidney at risk too!- No charger in the box (ugh) and the cable that comes with it is really flimsy. Doesn't look like it came with a flagship phone. ONEPLUS makes 10x better cables so better buy one from them.- A phone this expensive should have all the necessary features right? But the OneUI 5.1 doesn't come with an app lock. Samsung Secure Folder is nice but not usable for a day-to-day use. Secure Folder is fine for hiding images and apps but not convenient for daily access. There's no Good Lock module to have app lock either.- OneUI 5.1 (unlike many other UIs like OxygenOS 13 and ColorOS 13) doesn't give option to rename apps in app drawer. Ability to use 3rd party icon packs just came recently. And installing a 3rd party launcher kind of ruins the UI for recent apps screen.- OneUI 5.1 requires installation of a 3rd party Good Lock module to even configure what icons will appear on your navigation bar.- Overall this is a really good phone, best I'd say! But OneUI 5.1 lacks some basic features which should've been implemented.- But other than these minor software issues and some hardware inconveniences, this phone is definitely a recommendation.", 7 May 2023
12,"5.0 out of 5 stars
Worth the money !!!",5.0,"The phone is one of the best Android phone available in the market. Great battery life easily lasts a day even after heavy usage and constant mobile data on.Camera is really above the expectations, and the zoom quality is unmatched.It will easily lasts for 3-4 yrs given its constant updates and Android upgrades.", 23 November 2023
13,"5.0 out of 5 stars
High quality",5.0,"It's simply perfect.  This exactly meets my expectations, a very high quality phone which is nothing more and nothing less than a mini computer.", 30 December 2023
14,"4.0 out of 5 stars
Amazing phone but oversharpened images.",4.0,"First of all, this was my last smartphone purchase from Amazon as they are complete frauds. I was denied a replacement and return pick up was fraudulently cancelled multiple times over a period of 3 months. Avoid buying smartphones from online portals because the authenticity and customer support will always be doubtful. Coming to the phone, It’s a very good phone with excellent battery life and very little overheating issues that plagued the S22 ultra. However, the bane of buying a phone from Samsung is the over-processing and over-sharpening of images from the default camera. This continues to be an issue after several years and updates. One of the reasons why I can’t bring myself to recommend this phone to someone who is looking to take realistic and naturally detailed photos.", 7 November 2023
15,"5.0 out of 5 stars
Best phone by samsung",5.0,"The media could not be loaded.
                



 The pictures are crisp. They don't look less than any dslr camera. In love with the look of this phone. Steel coated side bezels are stunning. I wasn't confident about choosing this color but now I'm in love with it too. Photos in telephoto mode are a little grainy. Normal mode is way more better. Phone heats up after 20 minutes of nonstop use. Battery life lasts for a day so its ok ok. No other problem so far. Setting up this phone was so easy. Touch test went smooth like butter. Thanks a lot amazon for the coupon and card offers. ❤️😇", 12 October 2023
16,"5.0 out of 5 stars
Best in the market",5.0,"Never been an apple fan. So in the android world this is the best, no doubts. Comparing the camera quality of Samsung s23 ultra and iPhone 14 pro max, s23 ultra is way better. My friends with iPhone 14 ultra always ask for my phone to click photos.", 3 January 2024
17,"1.0 out of 5 stars
Received a defective product, chasing customer support for replacement",1.0,"I ordered this on 1-Jul Sat day and got it delivered in few hours time. Delivery was super fast. However , the phone is having issues - the call volume sound is too low, I can barely hear other side talking in home..in traffic it's almost impossible. The charging port has issue, if we move the wire slightly during charging, it will stop charging. In the car also, android auto disconnects with slightest bump. Raised a request for product replacement,  they assigned technical inspection. IIt was supposed to be done at home physically, however the technician called on phone, asked to I stall a inspection software ND said he will provide the report to Amazon. I received notification from Amazon and the call the customer service today only to know that the technician marked the issue as resolved. I was very surprised to know this. I logged a complaint with Amazon customer care, they now asked to wait for 48 hours and they will call back, so waiting..will update in this review once I hear back, hoping it will resolved properly.All in all, not a good experience so far with this purchase, one lesson learnt is not to buy high-end phones in Amazon anymore, it's very agonizing..yesterday I visited a nearby Samsung cafe and the gentleman also said not to buy high-end phones online. FYI..", 3 July 2023
18,"4.0 out of 5 stars
Good",4.0,High price, 30 November 2023
19,"5.0 out of 5 stars
True Flagship",5.0,This smartphone is a beast is all aspects., 26 December 2023
20,"5.0 out of 5 stars
A legend",5.0,A device which surely going to be in the books of legends of smartphone... Great product even though the pricing should have been more aggressive, 6 December 2023
21,"4.0 out of 5 stars
Not upto mark,  heating problem",4.0,Heating problem, 24 October 2023
22,"4.0 out of 5 stars
Good option for camera",4.0,Good phone with good camera, 25 October 2023
23,"3.0 out of 5 stars
Wrost Battry backup,  Heating problem",3.0,"U have a spend 1lac for this phone, not worthy b/c1. Wrost Battry backup in single charged not running full day (with power saving mode) without power saving mode battery not running half day, all flagship phone of Samsung this same problem. Samsung not resolved this problem last 2~3 years2. Heating problem, every time use camera with in 5 min. phone heatted, after this phone brightness is full, u have to close ur camera quicklySamsung pls. resolved this problem.", 14 November 2023
24,"5.0 out of 5 stars
Good phone , compared for pixel 7 pro and apple 14 pro.",5.0,"I was samsung follower sing samsung galaxy series,  bit last time purchased google pixel 7pro 256gb. And found that it was good phone but no call recorder,  and it's camera was best then I compared my pixel with S23ultra and found there was not that much difference yes pixel camera was a bit good but I am not that professional or like that but found that apart from camera everything else is best in samsung s23ultra ..Also there was in built "" Call recorder "" which I always needed and that was main point where pixel was lagging behind .... and also found samsung galaxy s23ultra way more fast and efficient than pixel also there was no heating issue like pixel in this samsung galaxy s23 ultra....also I was never apple fan and never found it worth compared samsung, used apple 14 ,apart from camera where there may be difference of 0.5% between samsung and apple camera apple is over hyped and not a value for money phone and also you can't run multiple apps in background in apple and no call recorder also there is no back button or symbol in apple it's random some times you swipe it sometime some app has cross symbol in any corner that you have to search....better go for samsung it's always value for money. This review is not paid I have used all three master phones apple 14 pro, pixel and now samsung s23ultra....found S23 ultra to be the winner.", 7 May 2023
25,"5.0 out of 5 stars
Best Phone till 2023",5.0,"Until samsung releases S24 Ultra. This will top every spec sheet and benchmark tests. What samsung does, Apple can never !", 26 October 2023
26,"5.0 out of 5 stars
Cool phone",5.0,"The media could not be loaded.
                



 Nice premium feel.", 28 November 2023
27,"5.0 out of 5 stars
Great Product - Top Tier in all Products",5.0,"I got this phone just before making an international Trip. The phone served me really well. It's been super smooth and I've received a lot of compliments for my photos (Hey maybe that's also some part due to my skill, yes?).But the phone has a great battery life, quite often I'd come back home with around 50% battery (with BT and Loc on).  Mostly not with Power Saver on, but I did keep it on on some days initially.I hardly use the S-pen, mostly due to no habit, but it seems a cool addition for those with smaller hands. For me, I have giant Hands, so i can easily use the entire phone with my two hands.I would recommend this phone if you are looking for a premium product. The specifications obviously show a significant difference between the Ultra and the normal Samsung S23.", 2 July 2023
28,"5.0 out of 5 stars
Best phone in 2023",5.0,"This phone is very good allrounder with very beautiful display to watch Netflix YouTube etc, good battery backup and best phone camera ever with premium build quality by Samsung.Im generally an apple lover and I'm using apple only phones since iphone 6s upto my current iPhone 13 pro as my primary phone and I earlier I used to purchase Android phones  as my back up phones like one plus 9,Vivo x80 pro but none of them amazed me with their outstanding performance like samsung. Its a costly phone but well worth it and infact I will not buy any iphone again anytime soon and this phone will definitely replace my current iPhone as my primary phone.", 20 July 2023
29,"4.0 out of 5 stars
Great phone",4.0,"Everything is great except finger print unlock and face unlock, my previous oppo phone is much faster than this", 10 August 2023
30,"5.0 out of 5 stars
Best Mobile camera so far!",5.0,"I'm in love with the quality of images clicked on this phone. As a traveler, it comes very handy to click pictures instantly. 10X on this phone is the best thing ever. I am able to click amazing bird shots which makes it hard for people to believe that those are captured on phone. Battery life is outstanding.Only thing I am not that satisfied with this phone is not a great focus when you get close to subject, macro shots aren't that great compared to iphone 14 pro. Rest everything just perfect.", 7 June 2023
31,"5.0 out of 5 stars
Awsome product....... it worth every rupiess",5.0,"I was using in an iphone 13 and i was planing to switch to android. When i checked s23 ultra was one of the choice. Its high ended at every level, like screen is awsome, then the processioning, cameras are at next level. If you are plaining to by, go for it. Highly recommented.", 10 September 2023
32,"5.0 out of 5 stars
No words.. go for it",5.0,"Far better than iphone in terms of everything. And i heard everyone talking about iphones video recording is better, just try this phone and you will understand. I didn't compare it with iphone in video recording but its the best ive ever seen on an android and in photography this one is the clear winner that i can confidently say. Portrait is damn good", 28 July 2023
33,"5.0 out of 5 stars
Android King",5.0,The phone is just amazing..User experience is awesome.. it.Loving, 9 October 2023
34,"5.0 out of 5 stars
My dream purchase",5.0,I am enjoying every moment with my phoneThe camera is top notch and there is no single cons to mention by far this is the best android phone available  in market now, 12 September 2023
35,"4.0 out of 5 stars
Worth the hype",4.0,A smart phone thats worth the hype. Beats the competition with its features. I'm expecting some features to be fine tuned in future updates., 16 May 2023
36,"5.0 out of 5 stars
Dream comes true",5.0,"Very good phone as we can expect this at the price, S pen will give u a very higher feeling, camera, display, sound all are too good. I brought it at Rs. 109000/- after exchanging my broken oneplus display wala phone at 5000 + 10000 extrq discount. Actually price they are gaking now is too much, after an year it will drop down a lot, so my suggestion will be, if u can wait, then you can buy at a very lower price.", 4 June 2023
37,"5.0 out of 5 stars
Best Android phone ever",5.0,"+ unmatched S-Pen that is useful+ Fantastic camera - best I have experienced+ Green is not my favorite color but on S23 ultra it looks awesome. Premium finish+ Big and beautiful display with thin bezels and tiny front camera hole. Great choice for OTT+ feels good and light in hand+ 5G with strong network connectivity+ Samsung UI is clean, no bloatware, Ads, and bugs.  Good customization options+ PERFORMANCE is best+ Samsung watch, earbuds, etc works well together- High price. SAMSUNG MUST MAKE THIS AFFORDABLE. At may be 80K sales can be more than 10 times- Strong competition offering better value (like 80% features at 50% price)", 7 March 2023
38,"5.0 out of 5 stars
Speechless",5.0,"I am not an avid phone user, for me this one is way beyond what I really need from a phone, its artificial but yea you can capture moon, its fun to see how the AI detects moon and artificially replace the moon image. camera is outstanding, performance is mind blowing never have to even think of the word hang, battery is awesome for my usage almost 2 days, only drawback(not a drawback in fact) is its big.", 12 May 2023
39,"5.0 out of 5 stars
Samsung S23 Ultra is one of the best smartphone from Samsung",5.0,"Samsung ultra S23 is beast phone from Samsung, it has awesome battery backup, display,UI, performance...etc.I moved from Iphone 12 to S23U and data migration was seamless with help smart switch app. 100% all the data is migrated to S23U.Camera & display is world class. I am loving it", 19 July 2023
40,"4.0 out of 5 stars
Worst Fingerprint sensor",4.0,Awesome camera and features but fingerprint sensor sucks. It always fails to read fingerprint and says fingerprint doesnt match. Phone unlocks in 3rd or 4th try everytime., 5 May 2023
41,"5.0 out of 5 stars
Premium experience is what you pay for",5.0,"I am already using a s23 and bought this one because of all the praise it's receiving. Have to say that the reviews are almost right about this phone. But I honestly feel that for half the price, vanilla s23 is a far more value for money product than this one. If you like or even okay with smaller phones, s23 just makes more sense. I bought the s23 for 46k after exchanging 3 month old moto edge 30 and s23 ultra for 87k after exchanging 4 month old pixel 6a. One thing I can assure you is that one ui is addictive", 11 March 2023
42,"5.0 out of 5 stars
awesome",5.0,the best amongst android!, 28 September 2023
43,"5.0 out of 5 stars
IT IS ULTRA",5.0,I HAD THIS DREAM OF USING GALAXY NOTE FROM CHILDHOOD I WAS USING ONEPLUS 6T MCLAREN EDITION BEFORE IT LASTED FOR 5 YEARS STILL WORKING I WAS UANBLE TO CHOOSE WHICH PHONE TO GET ONEPLUS WAS NOT GOOD LIKE BEFORE SO DECIDED TO GIVE A TRY TO MY DREAM PHONEFINALLY HAPPY WITH ITTHE CAMERA DISPLAY SPEN ALL FEATURES ARE OUTSTANDING I LIKE THE BATTERY LIFE PRETTY GOOD, 21 May 2023
44,"5.0 out of 5 stars
Most trusted one",5.0,I'm very satisfied with the product .mine is s23 512gb .I'm also very great full as they delivered phone 3 days earlier with safe and sound., 24 August 2023
45,"5.0 out of 5 stars
Fastest android in the market.",5.0,"When it comes to the Galaxy S23 Ultra's outstanding capabilities, the camera is merely the tip of the iceberg. The gadget is really quick and has a potent CPU that can easily handle even the most taxing programmes and games. With its spectacular 6.8-inch Dynamic display, which offers stunning images and vivid colours that make everything from streaming video to browsing the web enjoyable, the device is truly stunning.", 6 May 2023
46,"5.0 out of 5 stars
Nice phone",5.0,, 1 October 2023
47,"4.0 out of 5 stars
Need more improvement on cameras",4.0,Camera takes blur picture with 200 mp and 50 mp., 9 June 2023
48,"5.0 out of 5 stars
Camera is Excellent",5.0,This is first time I am using flagship and it is worthThank God i choose this over iPhone, 7 August 2023
49,"5.0 out of 5 stars
Gteat deal ..",5.0,Got it fir 67000 with great exacnge value for my old phone .., 22 September 2023
50,"5.0 out of 5 stars
Heavy but good",5.0,"This mobile is expensive but comes with lot of features too. I don't like few things, when purchasing such costly mobile and not get the extra goodies feels bad. No travel adapter, no buds,no jack for wire headphones. Disappointing. Some people like me are first time buyers for fast charging.", 4 June 2023
51,"5.0 out of 5 stars
Awesome everywhere",5.0,Bought it after replacing S22 ultra trusted samsung one more time with this so far its good ...the biggest complain of 22Ultra  i.e. battery life is no longer in this one...Photos also looks quite impoved since 22Ultra..Edit :- battery life is crazy good 10 hours of SOT with Quad Hd resolution and 120Hz and dark theme my S22 ultra was at 30% just after 5 hrs of SOT loving it will use 23 ultra atleast for 3 years, 20 March 2023
52,"5.0 out of 5 stars
Awesome Smartphone",5.0,Always been fan of Galaxy note series. S23 ultra is packed with features. Great for big screen lovers. Camera is just too good. Don't need DSLR anymore..., 13 August 2023
53,"5.0 out of 5 stars
The Beast in all the sense🔥🔥🔥",5.0,"After around 4.5 years of extensive one plus 6T usage, finally I decided go for a new phone and did a pre-booking of Samsung s23 ultra.Here I am writing this review with no regrets on my decision ever. Very happy with the one UI experience, super smooth OS and performance, extensive battery life ,unbeatable camera quality, Display and gaming experience. Just go for it guys if you don't have a budget barrier.", 25 March 2023
54,"5.0 out of 5 stars
Iam getting impressed by this device...Superb👌",5.0,Liked this phone a lot., 25 July 2023
55,"5.0 out of 5 stars
Most advance",5.0,Awesome, 15 August 2023
56,"3.0 out of 5 stars
Very poor screeeen",3.0,My phone slept from.my hand and drop from 4 feet and screen totally damaged. Its gorila glas vicrus then how its posssible. Screen quality is very poor. Samsung pls make better quality.phones as you charge 1.25 lakh for yhe same, 28 June 2023
57,"5.0 out of 5 stars
Nice phone thanku Amazon",5.0,Phone pic zoom is very nice, 28 August 2023
58,"5.0 out of 5 stars
Samsung S23 pro review",5.0,This is one of the best phones ever.  Totally worth its cost. I hope to use it for more than 5 years., 6 August 2023
59,"5.0 out of 5 stars
Loved it...",5.0,Used since 1 JulyCamera 10/10Battery 9/10Display 10/10Overall performance 9/10, 6 August 2023
60,"5.0 out of 5 stars
So good",5.0,Nice phones, 27 July 2023
61,"5.0 out of 5 stars
Worth it if you are okay with the size",5.0,"I am coming from s20 fe 5g, everything feels like an upgrade, the screen, the build,  the display, the battery, the speakers. The only think that is still taking time to get used to is the size of it, it's a huge phone, wished it was a tad smaller to like 6.3inch and it would have been in a sweet spot for one hand use. This is the phone to last for several years to come without needing any upgrades.", 15 March 2023
62,"5.0 out of 5 stars
Pricey one but best Samsung phone yet",5.0,You can buy it if you can afford it but be sure to protect it as it comes with hefty price. If you are coming from iPhone and want to copy all photos then do it at the time of setting up. I found the battery is regular if we clone iPhone data. If we setup as a fresh phone then it may give good battery life., 19 March 2023
63,"5.0 out of 5 stars
Simply awesome",5.0,Great product, 1 August 2023
64,"5.0 out of 5 stars
Smartphone's king",5.0,Best phone i ever used. Premium experience., 21 July 2023
65,"5.0 out of 5 stars
Best smart phone till date",5.0,Upgraded from my galaxy note 9 and I am liking the performance. The camera is easily the highlight of this phone. It takes stunning photos and videos. The ultra series has kept the legacy of the note series alive by keeping the s-pen and bringing the best hardware in the market. I would recommend this phone to anyone who is looking for a flagship device with best on the market hardware, 8 March 2023
66,"4.0 out of 5 stars
Superfast and very big",4.0,"Switched from iPhone 12 pro max to S23 Ultra for some reason. S23 Ultra is superfast, stylish and has very big screen but feeling somewhat inconvenient who used to iPhone. No regret for buying.", 17 March 2023
67,"5.0 out of 5 stars
Best android phone",5.0,"This is best phone, samsung give his best. You experience a new tech and many features.Camera display speed better than iPhone.", 28 June 2023
68,"5.0 out of 5 stars
Best Phone One Can Buy",5.0,"This is my first Samsung  phone. I shifted from One plus 10 to Galaxy S23 ultra and I must say it is the best decision I made to switch for S23 ultra. Great picture quality, super fast processing, build quality is perfect. Camera is the best.", 6 May 2023
69,"5.0 out of 5 stars
Just Gorgeous",5.0,"Master in everything...can't describe in word's, you have to experience it yourself...This smartphone is Absolute perfection... can't get anything better then this..", 21 June 2023
70,"5.0 out of 5 stars
Samsung S23 Ultra 512 GB",5.0,The best phone as on date that the money can buy.. extremely satisfied and would recommend to others, 10 July 2023
71,"5.0 out of 5 stars
great phone for the camera lovers.",5.0,i used it for more than a month now. Its just awesome for camera lovers who likes zooming and love to make reels. I made many reels with this phone. Those are superb. Just check my instagram page of sameer_abbas88 for the videos., 26 April 2023
72,"5.0 out of 5 stars
Beautiful product 👌",5.0,Simply superb 👌, 19 July 2023
73,"4.0 out of 5 stars
S 23 ultra",4.0,Overall super, 11 April 2023
74,"5.0 out of 5 stars
Best phone by samsung",5.0,"Always wondered when samsung will ditch Exynos for Snapdragon for Flagship phones, and finally Snapdragon for Galaxy, no over heating and better optimised phone, battery last almost 36 to 48 hours with normal usage,  I miss the curve edge but it has his own advantage but rest features compensate enough...Thanx Sammy n Amz for the beasty product", 25 March 2023
75,"5.0 out of 5 stars
In Love with This Phone 😍❤️",5.0,"I switched from iPhone 12 to this beast.....Believe me guys this phone is on another level...I was having few other options like 14 pro max , pixel 7 pro , one plus 11 , s23 ultra....after doing a full research I decided to buy this beast...and here I am happy with my decision 😇😇", 19 March 2023
76,"5.0 out of 5 stars
King is back",5.0,Happily switched from iphone 13 pro max.Its a joy to hold this phone and use it.My iphone had become useless coz i was not taking pictures anymore from the iphone from the day i got S23 ultra.Best displayBest batteryBest cameraBest speakerBest softwareBest software supportBest customisation ( good lock)Best network reception, 9 March 2023
77,"5.0 out of 5 stars
9.5 hours of SOT",5.0,"Battery life is just crazy good , got 9.5 hours of SOT from 100 to 5% , with mixed usage it will last 1.5 to 2 days. Let it take some time to learn your usage patterns.UI is butter smooth.", 12 April 2023
78,"5.0 out of 5 stars
Besr phone and worth it",5.0,Best phone ever!! if you can afford it then go for it, 30 June 2023
79,"5.0 out of 5 stars
Samsung galaxy s23 ultra phone",5.0,"The media could not be loaded.
                



 Good phone", 23 August 2023
80,"5.0 out of 5 stars
Top G of all Androids",5.0,This is an absolute beast of a phone with exceptional performance and battery life. The display and the cameras are top tier and there is not a single thing that you can complain about., 23 April 2023
81,"5.0 out of 5 stars
Its the galactus, its the beast!",5.0,Just wanted to add my 2 words for this masterpiece., 1 July 2023
82,"5.0 out of 5 stars
Premium Feeling",5.0,"Amazing phone, Camera &AI is superb. Face Unlocking sensor is More faster. Cooling system much better than other devices. No heating effect. Don't expect moon photos but you will get premium phone feeling..", 13 April 2023
83,"5.0 out of 5 stars
Great experience ever",5.0,"Samsung doing great things with s23 ultra, best choice to purchase this phone", 2 July 2023
84,"5.0 out of 5 stars
Superb",5.0,Flagship one, 30 June 2023
85,"5.0 out of 5 stars
It's simply wow",5.0,"Great phone with great features, with high price as well lol!!", 7 June 2023
86,"5.0 out of 5 stars
The best android phone in the market right now. But a bit overpriced.",5.0,"The phone is no doubt the best phone in the world right now.Display, camera,performance everything is top notch. Battery backup is also very good. But it is overpriced. Shouldve been under 100k since it is manufactured in india only.", 17 March 2023
